X1,X2,X3,X4,X5,X6
0.9509,-1.2693,1.705,2.6326,-1.8855,-1.9504
0.9527,0.6417,-2.0443,-2.5285,0.6318,0.6207
-3.0534,2.193,1.7798,2.8757,-5.2345,-0.4466
2.1869,-3.7104,0.6301,-1.0453,-2.1734,4.7032
-0.195,0.2881,-1.6407,-2.0781,0.3715,5.3648
0.2128,1.7764,-0.4224,0.2066,-1.6312,0.7082
-1.5604,1.4786,-1.9777,-0.5492,2.6253,0.7087
0.329,-1.3606,-0.7045,0.2356,-1.2077,-0.31
0.8461,0.781,0.4839,1.1152,-0.047,0.7705
-0.961,1.6986,-1.5303,-0.1753,2.8721,-2.4188
-0.2598,-0.6759,-0.5181,-0.7874,1.6005,-2.5394
-1.2802,1.0224,1.2462,2.3658,0.5244,-4.9517
0.0488,0.8857,0.2242,1.4109,-1.3882,1.8426
-1.712,1.2815,-0.7217,-1.2457,1.4539,0.5429
-1.414,0.4827,0.4732,1.3687,0.751,-2.7051
-0.7443,-0.7015,-0.207,-0.003,0.159,-0.7417
0.2996,3.7584,0.9832,3.4696,-0.2504,-1.3424
-0.8391,-3.8911,0.0635,0.8724,0.2187,-0.1282
-1.219,1.0892,-1.1644,-0.098,0.8746,-2.385
-1.005,1.6235,-1.1771,0.1021,-0.0831,0.2349
0.4505,0.3587,-1.4689,0.0413,0.3763,-4.5089
-0.0825,-1.3634,-1.3201,-1.4358,1.205,0.4798
-0.5309,2.6095,0.0516,0.2954,-0.9357,0.3606
2.0556,-1.5653,-1.47,-1.4267,1.379,-0.3358
1.5371,0.481,3.1504,1.0089,-3.7566,3.3048
0.3798,-0.6936,-2.8678,-0.8103,2.0566,1.9635
-0.5264,0.9347,1.368,1.5626,-2.229,1.0594
1.0686,0.6164,1.4129,-0.2462,-1.4753,-0.991
3.3947,-0.4463,-0.5173,-4.8277,2.7493,0.8697
-0.2044,2.6696,0.5252,0.958,-2.1679,0.7841
1.77,-0.937,-1.2657,-1.6338,1.1812,3.8714
0.2715,-2.6873,-0.0036,-0.3206,2.8871,-2.0094
0.099,-2.7908,1.7931,-2.0138,-1.7527,2.0921
0.2722,-0.8368,-1.7092,-0.9218,2.237,0.9376
-1.7596,0.0899,0.4038,2.9668,0.7772,0.18
-2.0034,-0.1938,0.3892,1.4278,1.9198,-1.365
0.7722,0.0701,-1.6976,-0.0411,-0.322,1.0559
1.1138,2.4873,2.514,-0.2923,0.5528,-0.6327
-0.3599,-2.0392,-0.8463,2.2315,1.7483,-3.3031
-0.0459,-1.1241,0.7772,-1.0278,-2.6698,5.6934
-0.9723,0.1941,0.3474,0.6092,-1.8501,3.4717
2.1654,-0.986,2.468,0.5872,-2.9824,2.4304
2.571,-0.8892,-0.6243,-0.0627,3.2628,-2.5876
0.9661,-0.5433,-2.6344,-3.0962,1.2662,-0.1188
-0.0414,1.0529,-3.155,-1.5958,6.3098,-7.1695
0.3468,-0.6395,-0.5781,-0.6249,2.2082,-1.168
-0.3743,0.3982,0.5649,2.2209,1.9078,-2.1329
-0.0215,1.5032,2.5042,2.3342,0.5805,-5.1215
-2.3005,1.8862,0.1643,1.4919,0.5603,-1.9267
-0.2825,3.5532,-0.9629,-2.3495,1.9656,0.1902
0.8188,-1.1821,1.0849,-0.7122,-2.7624,1.644
-0.785,1.277,2.2985,-0.7364,-0.0185,1.2816
0.8262,1.6665,-0.1391,-0.7936,-0.1796,-0.9943
0.5538,0.9881,2.051,-1.2389,0.6507,0.5262
0.9487,0.2961,-1.8864,0.4158,0.1547,-1.4921
0.6167,0.7879,1.1456,-0.0568,-3.2577,3.9084
0.6631,1.5651,-1.7148,0.4052,0.8905,-0.0785
0.6867,0.442,1.1406,-1.0662,0.0501,0.2506
0.2304,-2.9875,1.0559,2.4603,-2.1089,-0.0982
1.181,-1.3851,1.4395,-0.9541,-2.9134,2.6621
2.6723,0.7359,-1.6314,-0.5407,0.8694,-0.3191
-0.1658,0.3693,0.5422,3.1084,-1.1725,-0.0588
-0.0091,-1.3412,-1.3146,-4.3231,3.0183,0.671
-0.864,2.0973,1.0091,1.3208,-2.8419,2.9142
-2.5363,-1.7973,-1.5268,0.0504,0.9615,-1.5353
0.4679,1.8269,2.2727,1.0902,-2.489,0.6687
-0.6139,-0.1152,1.2088,-0.333,-1.9648,0.589
0.4534,-1.7225,-0.9419,-0.0713,1.6064,-2.2063
-0.7437,-2.6181,-0.6502,-0.8421,2.0749,-1.405
2.0298,0.1079,-1.8049,-2.5624,2.4677,-1.03
3.6785,1.258,0.2677,-0.4854,1.1459,1.0313
0.3899,-0.0439,-1.5047,-1.4819,1.3078,0.286
-0.9884,0.6328,-1.4276,1.0285,0.331,0.7056
-2.0749,-2.7835,-0.329,1.5956,0.0789,-1.9661
0.2454,1.8994,0.2944,-0.4645,0.2066,0.6271
-0.1599,0.1525,0.0608,0.5927,1.553,-0.3034
-0.804,1.0765,1.0261,1.0758,-1.8623,1.7493
-0.6479,0.835,-1.8009,-1.1954,2.5863,-2.3269
-0.5441,0.994,-0.3975,-1.4601,1.1726,0.2571
-0.1506,-1.3564,0.1544,-0.4406,0.5768,-0.2556
-2.6183,0.1403,1.5328,1.7016,-2.2264,1.2165
1.0133,-0.2238,1.5656,1.1242,0.9432,-0.9807
-1.1676,3.8146,-1.3717,-1.1761,0.4393,2.6157
-1.4856,2.8732,0.4527,0.55,0.5115,-0.2684
-0.734,0.1613,2.5443,2.7812,-0.7423,0.4016
-0.8792,-0.4651,1.0736,0.9027,1.2838,-0.152
4.9616,-0.6958,-1.6601,-1.9679,2.5808,1.774
-0.4046,-0.5395,-1.2957,-0.541,0.5139,0.1906
-2.3331,2.5708,-0.7196,-1.1312,-0.1262,2.3592
0.7531,0.612,-0.9846,-1.6356,1.2916,-0.5582
0.5601,0.2855,0.4948,-0.5314,0.9766,-2.2986
0.1781,0.3584,-0.2205,0.8507,-0.1498,-2.6422
-0.1664,-0.62,0.2679,2.713,-0.369,-3.2019
0.43,0.7565,0.6714,-0.0723,-0.8488,2.4708
-0.6084,3.1585,-1.1011,0.0813,-2.6473,3.2308
1.8484,0.3284,-0.9101,0.5922,1.7075,-1.9222
1.6079,0.0781,-1.3259,-2.515,-1.3899,1.4971
0.5581,-1.7223,-0.3055,-0.3499,-2.0733,0.9308
-0.7581,1.0837,2.5725,3.2565,-1.5189,-2.4136
0.6038,-0.989,-0.0977,-0.7,2.275,-0.8108
-1.2884,0.4067,1.684,1.8089,-2.3499,0.804
-0.6546,0.7848,-2.8559,-0.3612,2.2312,-0.192
0.5052,-0.9422,-1.4046,-1.2056,2.7227,-1.0173
1.2086,-0.3732,0.5167,-1.1171,-1.2861,3.2944
0.6868,0.6725,1.6906,0.3697,0.117,0.7656
-1.9195,-1.1492,-0.621,0.3545,2.1822,-2.5864
2.3227,0.2191,1.246,-2.9187,-0.2994,2.7236
-1.0375,-0.35,0.8343,0.611,-2.8046,1.1444
-1.2795,-1.4997,1.4199,-0.8167,0.5867,0.5928
-2.7227,-0.4282,0.8426,2.3877,0.5483,-1.7294
-2.1492,1.765,-0.4348,1.1445,0.6881,-0.7869
1.4715,0.3331,0.4314,-1.3538,1.7971,-0.2847
0.2605,1.1509,1.9219,3.1514,-1.4497,-1.9064
1.4804,1.7425,0.08,-2.6986,-0.4597,2.9712
0.171,-0.8895,0.4807,1.0959,-0.7207,1.016
-0.9195,-1.7916,-2.4651,-3.286,3.1405,1.3953
-2.6421,2.0372,1.3405,0.7405,-2.3807,1.4761
0.5471,-2.8413,-0.4606,-5.2672,1.6509,2.9477
0.1769,-0.7579,-3.4796,0.6067,4.8516,-6.1355
-1.8348,-0.5797,-1.6063,0.6204,2.5548,-2.4055
-1.2306,-3.201,2.1295,2.4995,-0.229,-3.6653
-1.1101,-0.7735,1.8107,1.4892,-2.6431,0.2677
1.9245,-0.6742,-3.9473,-3.9803,4.4975,-0.9261
0.8174,1.0432,-0.2729,0.0389,0.6727,1.1102
3.0169,-0.4152,-1.005,-1.3791,-0.0585,-1.9345
0.0832,0.2551,0.7379,-0.0076,-1.0305,-0.2656
-1.7903,1.7317,2.9263,3.2623,-0.3767,-3.6952
-0.1141,-0.9668,3.2622,1.4133,-4.6105,0.5043
-0.6677,-2.2694,-0.5162,0.7067,1.5623,-2.809
-1.2026,1.1751,1.8625,2.1949,-0.7778,-1.6376
0.0966,0.1186,0.1837,1.409,0.4093,-1.8506
-1.7175,-2.0743,-2.3558,-1.3012,0.8341,1.1675
-1.8253,-0.1591,0.6734,0.0672,-0.2236,-0.1499
-2.3532,0.713,-2.4842,0.1508,-0.4604,3.5747
-0.7001,-0.9938,3.7363,-0.9732,-3.7242,5.0829
-0.554,-1.4973,-1.5686,-0.0051,1.4457,-0.1481
-0.1108,-0.3006,0.0182,0.3119,3.0706,-2.3296
1.1943,-0.6694,1.308,0.5301,-0.8525,1.6355
-0.4639,-0.8771,1.6477,1.7621,-3.4281,1.6299
0.8804,-1.1869,0.5264,-0.0573,0.0872,-1.3019
1.119,0.8873,2.8465,-1.1614,-4.4463,4.1736
-0.2966,-1.6471,-2.6912,-1.1596,2.3333,-0.0095
-0.7362,0.6294,-0.5142,0.223,2.1887,-1.4151
1.1789,-0.0534,-0.7462,-2.772,1.5561,-0.1072
2.3177,-2.8936,-0.5173,-2.399,1.4563,1.6392
0.4026,3.4898,-0.3339,2.2898,-0.5021,0.4743
0.3209,-0.0563,-1.6316,-0.224,0.5578,0.5776
-1.2933,1.4028,0.9058,0.8688,0.1027,0.7516
1.0352,-0.5833,-1.2281,-0.3308,0.475,-1.0113
0.5988,-1.0404,0.9486,-1.7043,-0.5816,1.9099
-1.6286,-2.0215,-0.4556,1.3119,-1.4414,2.0086
0.6768,-0.7081,-0.9777,0.9509,0.0998,-0.9728
-0.8638,0.3369,0.6273,-0.1941,-1.5302,0.2097
0.5146,-0.6222,-2.6662,-3.9758,2.1724,-2.3317
-1.1118,-0.1841,-1.9032,-0.8204,3.8466,-2.9137
-1.12,-1.2067,0.1791,0.6622,1.0274,0.3758
-0.2227,1.1532,-2.0561,0.0028,1.9049,-0.1757
-0.2658,0.7026,0.6014,-0.3686,-2.4051,2.5388
0.1681,-0.3444,-3.3295,-4.5156,2.4735,-1.549
-1.036,0.546,-0.3911,-0.0711,-1.5974,-1.299
-0.8376,1.4182,1.2403,0.0504,-1.7185,0.2947
-1.3416,-1.7677,2.2433,0.7381,-6.6631,5.2778
-2.9948,-0.3981,-0.7801,2.5619,0.2485,-1.7489
-1.2706,0.1293,-2.0949,-0.501,0.4325,-0.9184
-2.1957,0.9748,-0.1126,1.533,-1.3061,-0.2188
1.1656,0.274,0.6896,-0.5021,-0.8435,-1.1181
0.8081,0.4778,0.4874,2.225,-0.7749,-1.6125
3.4108,-0.2099,-1.4636,-4.7669,0.8309,5.2461
0.6962,-2.1409,0.5004,-2.1557,-0.2438,0.8804
-0.185,1.0026,1.9645,3.7551,-2.3718,-0.4347
1.4816,1.3633,0.7484,-2.8797,-2.623,6.116
-0.868,-0.5341,1.349,1.3728,-0.8561,2.1054
-0.6245,-1.0261,-0.3352,0.4235,-0.8116,0.5764
0.2661,1.5719,-2.5376,-1.8988,2.3409,0.7894
-2.3093,-1.7037,-0.7523,-0.7155,-0.5001,0.981
1.6378,-0.1349,-2.265,-1.1793,4.814,-3.0949
-1.243,0.714,0.4874,1.2991,-0.4261,-6.16
1.1502,1.0066,0.8554,1.0999,0.6416,1.1375
0.0899,-1.2887,-1.1573,-1.6843,0.7508,-2.0989
-0.6096,0.3072,0.3439,1.6854,0.1632,-1.9732
1.4767,1.9821,-1.7353,-1.1657,3.5232,-1.3671
1.1659,1.335,-0.7413,-0.0015,3.0505,-0.1973
1.197,-3.9418,2.1716,-0.6419,-1.3858,2.5949
-0.2682,-1.0503,0.0853,0.6541,-0.8618,0.743
2.0725,1.3941,-0.1746,-1.9135,1.1197,2.3171
2.3832,0.5482,-1.9162,-1.913,2.6574,-1.0618
-1.5363,-1.0659,-0.5766,0.8558,0.0002,-1.9857
-0.4367,-0.9826,0.3707,-0.3603,-1.5965,2.791
-0.648,0.6988,0.4856,1.917,-1.5827,0.8298
-2.1429,0.6449,-0.6892,0.0573,-0.1079,-2.6924
-1.8593,1.9543,-0.3083,1.8655,-0.355,-1.2018
-1.9347,2.0189,2.7095,0.7716,-2.7021,2.8131
0.7386,1.3923,2.8858,0.9614,-2.8892,3.6127
0.5191,-1.3444,1.1832,1.3564,-3.465,0.9114
0.2054,-0.3044,-0.7062,-0.5443,1.2079,-1.7324
-1.8092,2.7197,-0.2174,-0.7938,1.6272,-3.7592
1.7428,-0.8948,0.2792,-1.0575,3.4852,-4.2946
0.6498,-2.2189,0.5538,-1.4886,-0.1242,-0.6904
-1.0603,-1.8044,-0.792,-0.1891,0.2,-0.1078
-0.8175,-3.6847,-0.2708,-0.375,-0.6202,2.8317
0.4835,-1.5692,1.9289,2.0006,-2.5008,-1.4206
0.8325,1.6416,0.5985,-0.6897,-1.6981,1.4922
2.9665,1.1578,0.0032,0.5663,0.9109,-0.8725
-2.8097,0.5574,-1.0551,-1.5157,-1.7869,2.8631
-1.368,-2.3,0.2181,0.3445,1.031,-1.3778
-1.28,-0.5628,0.1719,3.0775,-0.6282,-4.6689
-0.9066,1.49,-1.1071,0.8101,2.3929,-3.3682
-0.516,-0.9756,-1.0239,0.5089,0.9339,-0.7827
1.6432,2.2104,1.141,1.5415,-2.0029,0.2983
1.0236,0.7024,-1.5799,0.3281,2.001,0.3353
-0.7477,0.6195,2.5683,1.14,-2.2277,0.4564
-0.8837,-0.6454,-0.5417,-1.5064,1.1148,-2.247
-0.013,-1.1386,-1.5494,-0.1218,1.9371,0.3427
-2.3094,-1.6085,-1.27,-0.2269,3.2428,-4.281
0.0256,0.2847,-3.6354,-1.6238,3.3749,-2.6933
-1.5025,1.2183,-2.8467,-2.0362,2.4848,-0.3669
0.3882,-1.7023,-0.6247,-0.1097,0.1811,-0.8022
-1.9285,1.4204,0.5026,0.6884,-2.3619,3.0845
0.5485,-2.5531,-1.2665,-1.984,2.8488,-0.3969
1.0869,1.2449,-0.8367,-3.6125,0.1238,2.5627
0.432,0.3409,0.3752,-0.4036,0.7599,-1.4984
3.6403,2.3452,-1.5987,-0.6458,0.0373,1.8526
-1.1202,1.1759,1.1946,1.8517,0.1635,-2.4867
-0.5977,0.0972,-1.5958,0.9444,2.1845,-4.9399
-0.8527,-0.1085,-2.0125,-2.8914,2.6986,-0.2572
0.5114,-1.0639,-1.3201,1.0243,0.5689,-1.5253
-2.3176,0.0249,1.4094,1.7161,-1.7359,1.0074
-1.3085,1.7477,0.404,2.2411,-0.3154,-0.1634
-1.748,-0.1029,0.2632,3.9855,-2.9127,-0.6293
2.7844,-1.144,-1.8254,-2.853,3.4327,0.157
1.0518,-1.0631,0.3318,0.6773,1.4393,-1.5029
0.3912,1.3753,0.6014,-1.4841,-0.4061,2.2808
-0.7259,0.5854,0.8848,2.3435,-2.5732,0.9012
0.1173,1.1913,-0.7144,-0.9369,-1.7279,3.9685
-4.3684,0.9976,-1.1957,0.6954,-0.6896,-0.6125
-1.1864,-0.0407,-1.8987,-0.3219,2.0294,-2.0244
-0.7057,-0.1926,-1.2915,-0.4019,-1.7125,-1.1911
-0.4821,0.8004,1.8114,3.8435,-0.7963,-2.557
0.8523,-0.0812,0.8937,-1.636,-2.2622,4.7255
-0.4513,1.1811,1.9082,1.1314,0.1656,-0.7592
-1.084,-0.8051,2.0996,1.287,-1.7879,-0.6398
0.1586,-1.6986,0.5387,2.2448,-2.9641,-1.0117
-0.5242,0.7926,-1.8153,-0.8219,-0.896,0.5634
-0.1122,1.2442,2.0528,1.9054,-0.3105,0.3685
1.7692,1.475,-1.8554,-1.3559,2.5795,0.6901
-2.1978,-1.0942,-2.1248,-1.0401,3.0335,-1.3199
-1.6878,0.6091,-0.5814,-1.6281,-0.1661,1.7307
-0.9439,-0.1339,0.1265,0.3768,-0.4898,0.7893
-1.2435,-2.118,-1.5695,-0.9679,-0.1068,1.1384
-0.8428,1.2776,1.2227,3.2329,-1.1609,0.3999
1.4401,1.1067,0.5204,0.2278,0.8021,-1.7224
1.1118,0.943,-1.0336,-0.2021,-1.9138,2.561
0.8163,0.4432,0.738,-1.7984,-2.6841,4.4904
-0.7438,0.5156,-0.5021,-0.5147,2.1956,-1.0625
1.2844,-0.3383,-0.2161,2.1166,2.5134,-6.2678
-1.2538,0.3989,-2.133,-0.2134,-0.9359,1.0216
1.1534,3.2943,3.5767,1.8329,-1.6961,-1.5754
-2.3333,-1.5116,0.4672,-0.1314,-1.272,4.3221
0.7801,-1.1767,-0.2991,1.3366,-0.0816,2.6706
0.4047,-2.4335,0.2898,1.291,0.9828,2.213
